JD, Filter,Magnitude, Ref 1 Magnitude
2459486.561, B,-0.845,0
2459486.561, B,-0.847,0
2459486.561, B,-0.873,0
2459486.561, B,-0.859,0
2459486.561, B,-0.872,0
2459486.562, B,-0.89,0
2459486.562, B,-0.889,0
2459486.562, B,-0.892,0
2459486.562, B,-0.892,0
2459486.562, B,-0.899,0
2459486.562, B,-0.898,0
2459486.562, B,-0.908,0
2459486.563, B,-0.927,0
2459486.563, B,-0.914,0
2459486.563, B,-0.918,0
2459486.563, B,-0.924,0
2459486.563, B,-0.95,0
2459486.563, B,-0.959,0
2459486.563, B,-0.982,0
2459486.564, B,-0.966,0
2459486.564, B,-0.974,0
2459486.564, B,-0.999,0
2459486.564, B,-0.985,0
2459486.564, B,-1.026,0
2459486.564, B,-1.019,0
2459486.565, B,-1.028,0
2459486.565, B,-1.029,0
2459486.565, B,-1.06,0
2459486.565, B,-1.069,0
2459486.565, B,-1.08,0
2459486.565, B,-1.105,0
2459486.565, B,-1.117,0
2459486.566, B,-1.126,0
2459486.566, B,-1.144,0
2459486.566, B,-1.162,0
2459486.566, B,-1.193,0
2459486.566, B,-1.21,0
2459486.566, B,-1.227,0
2459486.566, B,-1.252,0
2459486.567, B,-1.263,0
2459486.567, B,-1.28,0
2459486.567, B,-1.307,0
2459486.567, B,-1.339,0
2459486.567, B,-1.352,0
2459486.567, B,-1.385,0
2459486.568, B,-1.411,0
2459486.568, B,-1.436,0
2459486.568, B,-1.439,0
2459486.568, B,-1.462,0
2459486.568, B,-1.465,0
2459486.568, B,-1.491,0
2459486.568, B,-1.511,0
2459486.569, B,-1.549,0
2459486.569, B,-1.534,0
2459486.569, B,-1.56,0
2459486.569, B,-1.571,0
2459486.569, B,-1.56,0
2459486.569, B,-1.568,0
2459486.57, B,-1.592,0
2459486.57, B,-1.586,0
2459486.57, B,-1.589,0
2459486.57, B,-1.611,0
2459486.57, B,-1.618,0
2459486.57, B,-1.599,0
2459486.57, B,-1.604,0
2459486.571, B,-1.599,0
2459486.571, B,-1.616,0
2459486.571, B,-1.591,0
2459486.571, B,-1.613,0
2459486.571, B,-1.614,0
2459486.571, B,-1.607,0
2459486.571, B,-1.606,0
2459486.572, B,-1.592,0
2459486.572, B,-1.598,0
2459486.572, B,-1.603,0
2459486.572, B,-1.598,0
2459486.572, B,-1.59,0
2459486.572, B,-1.591,0
2459486.573, B,-1.585,0
2459486.573, B,-1.597,0
2459486.573, B,-1.586,0
2459486.573, B,-1.583,0
2459486.573, B,-1.559,0
2459486.573, B,-1.576,0
2459486.573, B,-1.557,0
2459486.574, B,-1.562,0
2459486.574, B,-1.558,0
2459486.574, B,-1.56,0
2459486.574, B,-1.556,0
2459486.574, B,-1.545,0
2459486.574, B,-1.521,0
2459486.574, B,-1.53,0
2459486.575, B,-1.543,0
2459486.575, B,-1.51,0
2459486.575, B,-1.511,0
2459486.575, B,-1.505,0
2459486.575, B,-1.505,0
2459486.575, B,-1.509,0
2459486.576, B,-1.49,0
2459486.576, B,-1.502,0
2459486.576, B,-1.482,0
2459486.576, B,-1.487,0
2459486.576, B,-1.459,0
2459486.576, B,-1.454,0
2459486.576, B,-1.478,0
2459486.577, B,-1.445,0
2459486.577, B,-1.453,0
2459486.577, B,-1.452,0
2459486.577, B,-1.446,0
2459486.577, B,-1.445,0
2459486.577, B,-1.431,0
2459486.578, B,-1.422,0
2459486.578, B,-1.421,0
2459486.578, B,-1.406,0
2459486.578, B,-1.412,0
2459486.578, B,-1.389,0
2459486.578, B,-1.394,0
2459486.578, B,-1.384,0
2459486.579, B,-1.367,0
2459486.579, B,-1.372,0
2459486.579, B,-1.355,0
2459486.579, B,-1.362,0
2459486.579, B,-1.359,0
2459486.579, B,-1.336,0
2459486.579, B,-1.323,0
2459486.58, B,-1.318,0
2459486.58, B,-1.336,0
2459486.58, B,-1.289,0
2459486.58, B,-1.297,0
2459486.58, B,-1.296,0
2459486.58, B,-1.3,0
2459486.581, B,-1.281,0
2459486.581, B,-1.265,0
2459486.581, B,-1.273,0
2459486.581, B,-1.272,0
2459486.581, B,-1.262,0
2459486.581, B,-1.246,0
2459486.581, B,-1.246,0
2459486.582, B,-1.22,0
2459486.582, B,-1.22,0
2459486.582, B,-1.229,0
2459486.582, B,-1.201,0
2459486.582, B,-1.203,0
2459486.582, B,-1.205,0
2459486.582, B,-1.184,0
2459486.583, B,-1.187,0
2459486.583, B,-1.199,0
2459486.583, B,-1.177,0
2459486.583, B,-1.178,0
2459486.583, B,-1.149,0
2459486.583, B,-1.139,0
2459486.584, B,-1.14,0
2459486.584, B,-1.145,0
2459486.584, B,-1.145,0
2459486.584, B,-1.142,0
2459486.584, B,-1.145,0
2459486.584, B,-1.124,0
2459486.584, B,-1.102,0
2459486.585, B,-1.108,0
2459486.585, B,-1.107,0
2459486.585, B,-1.098,0
2459486.585, B,-1.099,0
2459486.585, B,-1.081,0
2459486.585, B,-1.072,0
2459486.586, B,-1.084,0
2459486.586, B,-1.07,0
2459486.586, B,-1.085,0
2459486.586, B,-1.061,0
2459486.586, B,-1.084,0
2459486.586, B,-1.049,0
2459486.586, B,-1.055,0
2459486.587, B,-1.047,0
2459486.587, B,-1.025,0
2459486.587, B,-1.026,0
2459486.587, B,-1.028,0
2459486.587, B,-1.031,0
2459486.587, B,-1.013,0
2459486.587, B,-1.011,0
2459486.588, B,-1.009,0
2459486.588, B,-0.996,0
2459486.588, B,-1.001,0
2459486.588, B,-1.006,0
2459486.588, B,-1,0
2459486.588, B,-0.982,0
2459486.589, B,-0.975,0
2459486.589, B,-0.973,0
2459486.589, B,-0.982,0
