Timestamp (JD), Obj1 : Magnitude (Centroid), Ref1 : Magnitude (Centroid), Ref2 : Magnitude (Centroid), Ref3 : Magnitude (Centroid), Chk1 : Magnitude (Centroid)
2459493.554,-1.706,-0.972,1.245,1.572,1.342
2459493.555,-1.694,-0.973,1.241,1.591,1.349
2459493.556,-1.688,-0.968,1.228,1.557,1.304
2459493.557,-1.672,-0.962,1.185,1.557,1.328
2459493.558,-1.671,-0.968,1.225,1.561,1.412
2459493.559,-1.655,-0.965,1.256,1.492,1.401
2459493.561,-1.652,-0.967,1.233,1.542,1.369
2459493.562,-1.647,-0.971,1.248,1.558,1.42
2459493.563,-1.634,-0.97,1.226,1.583,1.416
2459493.564,-1.628,-0.965,1.229,1.523,1.349
2459493.565,-1.626,-0.97,1.239,1.56,1.303
2459493.566,-1.615,-0.964,1.235,1.509,1.374
2459493.567,-1.614,-0.967,1.219,1.56,1.33
2459493.568,-1.609,-0.966,1.212,1.555,1.356
2459493.569,-1.608,-0.974,1.262,1.572,1.346
2459493.571,-1.607,-0.972,1.246,1.578,1.373
2459493.572,-1.606,-0.966,1.226,1.537,1.36
2459493.573,-1.604,-0.968,1.212,1.584,1.394
2459493.574,-1.6,-0.964,1.227,1.519,1.406
2459493.575,-1.615,-0.965,1.204,1.556,1.38
2459493.576,-1.615,-0.972,1.247,1.572,1.353
2459493.577,-1.622,-0.972,1.247,1.57,1.365
2459493.578,-1.611,-0.973,1.253,1.574,1.357
2459493.579,-1.632,-0.971,1.253,1.555,1.385
2459493.581,-1.649,-0.972,1.25,1.57,1.322
2459493.582,-1.696,-0.971,1.232,1.585,1.353
2459493.583,-1.623,-0.972,1.261,1.557,1.379
2459493.584,-1.751,-0.97,1.245,1.555,1.392
2459493.585,-1.769,-0.972,1.238,1.585,1.37
2459493.586,-1.887,-0.973,1.24,1.592,1.396
2459493.587,-1.934,-0.966,1.237,1.524,1.391
2459493.588,-2.017,-0.972,1.252,1.566,1.387
2459493.589,-1.957,-0.971,1.257,1.551,1.337
2459493.591,-2.058,-0.97,1.245,1.552,1.339
2459493.592,-2.044,-0.97,1.258,1.542,1.336
2459493.593,-1.989,-0.967,1.25,1.522,1.298
2459493.594,-2.006,-0.966,1.232,1.528,1.314
2459493.595,-1.998,-0.943,1.283,1.269,1.351
2459493.596,-2.056,-0.968,1.245,1.531,1.339
2459493.597,-1.973,-0.967,1.252,1.511,1.342
2459493.598,-1.996,-0.967,1.253,1.516,1.341
2459493.599,-1.886,-0.966,1.246,1.516,1.339
2459493.6,-1.895,-0.973,1.281,1.541,1.389
2459493.602,-1.902,-0.965,1.235,1.523,1.383
2459493.603,-1.793,-0.955,1.264,1.39,1.426
2459493.604,-1.834,-0.949,1.269,1.336,1.395
2459493.605,-1.763,-0.956,1.281,1.384,1.393
2459493.606,-1.737,-0.953,1.258,1.382,1.388
2459493.607,-1.71,-0.958,1.301,1.375,1.395
2459493.608,-1.741,-0.952,1.271,1.36,1.387
2459493.609,-1.67,-0.954,1.27,1.377,1.387
2459493.61,-1.676,-0.956,1.282,1.375,1.415
2459493.612,-1.709,-0.974,1.244,1.599,1.377
2459493.613,-1.685,-0.971,1.253,1.555,1.352
2459493.614,-1.71,-0.972,1.269,1.542,1.356
2459493.615,-1.638,-0.945,1.261,1.31,1.375
2459493.616,-1.641,-0.95,1.271,1.338,1.378
2459493.617,-1.592,-0.949,1.265,1.337,1.388
2459493.618,-1.658,-0.954,1.283,1.357,1.367
2459493.619,-1.68,-0.977,1.281,1.58,1.343
2459493.62,-1.64,-0.973,1.273,1.545,1.338
2459493.622,-1.649,-0.97,1.239,1.566,1.335
2459493.623,-1.643,-0.972,1.256,1.561,1.374
2459493.624,-1.624,-0.973,1.262,1.561,1.355
2459493.625,-1.601,-0.971,1.234,1.577,1.373
2459493.626,-1.617,-0.97,1.234,1.567,1.392
2459493.627,-1.615,-0.972,1.252,1.565,1.363
2459493.628,-1.609,-0.972,1.242,1.581,1.374
2459493.629,-1.6,-0.968,1.245,1.533,1.385
2459493.63,-1.603,-0.974,1.27,1.56,1.314
2459493.632,-1.604,-0.973,1.274,1.544,1.311
2459493.633,-1.575,-0.97,1.249,1.552,1.321
2459493.634,-1.606,-0.974,1.241,1.602,1.321
2459493.635,-1.566,-0.973,1.264,1.56,1.325
2459493.636,-1.588,-0.975,1.275,1.566,1.317
2459493.637,-1.589,-0.974,1.266,1.57,1.302
2459493.638,-1.602,-0.973,1.256,1.571,1.35
2459493.639,-1.64,-0.97,1.241,1.557,1.306
2459493.64,-1.553,-0.967,1.245,1.528,1.301
2459493.641,-1.635,-0.972,1.233,1.594,1.328
